,Time,Tweets,User
0,2020-04-06 00:00:21,i am totally getting up in everybody’s phone. practicing with screencastify.,AMcReynolds5
1,2020-04-05 19:11:30,awesome https://t.co/ln8rrzg3rq,AMcReynolds5
2,2020-04-05 18:46:09,this one is hard. packing up my students things. we won’t be seeing each other in person for the rest of the year.… https://t.co/s3tsl5okqi,AMcReynolds5
3,2020-04-05 15:24:52,@cprnews https://t.co/vi6anlfbjc,AMcReynolds5
4,2020-04-05 12:54:02,@melissa7moore @govofco got it from kaiser’s website.,AMcReynolds5
5,2020-04-05 01:29:22,"@kyleclark well, you know .....",AMcReynolds5
6,2020-04-05 01:06:08,@buttcheekronny @govofco old quilt pieces was washed and dried and washed and x 3.  kaiser had a pattern and my wife sews.,AMcReynolds5
7,2020-04-05 00:49:11,@govofco https://t.co/gyfoodllgh,AMcReynolds5
8,2020-04-04 23:49:14,rt @matt_kroschel: this is so much more better than watching bigfoot video submissions.,AMcReynolds5
9,2020-04-04 23:46:34,"rt @danrather: remind me again, why did our founding fathers choose a national government over the articles is confederation?",AMcReynolds5
10,2020-04-04 22:18:11,@kyleclark cheers,AMcReynolds5
11,2020-04-04 22:05:36,@vicvela1 quilt scraps and a talented wife. https://t.co/b0sr2iu0so,AMcReynolds5
12,2020-04-04 18:57:32,@christinerappwx i have a big yard and a lot of yard work.,AMcReynolds5
13,2020-04-04 18:52:19,@byndogehk working on figuring out how to be a remote teacher. and yard work.,AMcReynolds5
14,2020-04-04 18:51:00,#doingmypartco my wife had quilting fabric and has started the process of making a family set and a few for our nei… https://t.co/odnmxurtgn,AMcReynolds5
15,2020-04-04 16:34:37,@notjenniferdeku https://t.co/gnlepxxavu,AMcReynolds5
16,2020-04-04 15:00:45,@rluzmore it may just suck you in every time it is on now.,AMcReynolds5
17,2020-04-04 04:47:01,@aliciamariebody seriously!!  therapy,AMcReynolds5
18,2020-04-04 04:39:51,"@aliciamariebody well, anxiety days may cause things to be closer then they appear and dressing simply an illusion.",AMcReynolds5
19,2020-04-04 04:37:52,"@aliciamariebody had a zoom with people from work.  “you look showered and well normal.” yeah, cause i get showered and dressed everyday",AMcReynolds5
20,2020-03-05 20:57:04,rt @toddedillard: @glass_poetry bloop https://t.co/ajolruwswo,Atillathehunny
21,2020-01-31 02:35:29,rt @lanasmysoulmate: me at my own funeral making sure they’re playing lana del rey. https://t.co/cfbzfrc4my,Atillathehunny
